locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Ambohitsimeloka,active,create,91fbe3f3-b6cb-4e62-a006-34e3c58b64ba,,0713058f-62a5-4264-b7c4-ba9c822754a0,CSB2,csb2,5,Building,bu,47.765,-18.929
CSB Ambohitsoa,active,create,cbee4a63-1ac9-47aa-99f5-885618ad774a,,4a97633c-dc97-478d-a717-b37c3de1385f,CSB2,csb2,5,Building,bu,47.541,-18.851
CSB Ambohomanakana,active,create,b535adda-34a6-419a-85b7-eb040b2798f9,,0e0c9b82-9127-4990-86b7-4925314047f9,CSB2,csb2,5,Building,bu,,
CSB Ambolidibe Atsinanana,active,create,4fa981a8-e6d7-4eee-a531-4e047d596a70,,3d28e4d8-409b-4102-ab38-8a0580921888,CSB2,csb2,5,Building,bu,,
CSB Ambolobozobe,active,create,02169a9f-a0c2-42fb-9c1f-ed2fb746b159,,106cb2b5-5e15-429e-96f9-7490c9f86bf3,CSB1,csb1,5,Building,bu,49.532,-13.398
CSB Ambolodia Sud,active,create,c9631e8f-7093-4fc8-a54b-c7d76f839683,,5fa61353-bb98-4107-8c5f-79ce95839018,CSB2,csb2,5,Building,bu,,
CSB Ambolomoty,active,create,355807ed-5d7d-476d-96d7-20b6ecb9490f,,a80de6c1-9347-4555-b53b-aa8141499f52,CSB2,csb2,5,Building,bu,46.698,-15.71
CSB Ambolotara,active,create,7e8e8f33-bd65-4769-9f2d-dfd46d132e28,,60d50a91-092e-4151-8521-4490edfa970e,CSB1,csb1,5,Building,bu,,
CSB Ambolotarabe,active,create,8ab08044-1134-4cc2-aa2b-9ac9876fd43b,,ed1c590f-458e-423f-becb-4f0d672cef20,CSB1,csb1,5,Building,bu,47.17,-18.12
CSB Ambolotarakely,active,create,5f4e1b83-b53d-4a50-a0b6-f3624a9fc510,,59ce70cf-2b0d-483c-b82e-e60fc8213e88,CSB2,csb2,5,Building,bu,47.402,-18.566
CSB Amboniandrefana,active,create,454a3db2-bac7-49c7-9257-607d87cca502,,3defc324-4a60-4ae1-81f0-42b0d1440ad9,CSB2,csb2,5,Building,bu,,
CSB Amboniloha,active,create,ebd671c9-2675-4742-bb16-b4c47837a4a3,,913b79b1-0b8d-462f-b0d5-5c890df331cb,CSB1,csb1,5,Building,bu,47.521,-18.898
CSB Amboriala,active,create,4b4aa5e2-5369-49ae-943c-e02ebdaa5930,,a926f4d0-5fe3-4e1f-a3ea-8527259aab05,CSB1,csb1,5,Building,bu,49.431,-14.908
CSB Amboroho,active,create,419f48cc-9a5d-4fcd-880f-ac148a2f7566,,4a76c548-7776-44ec-aa2a-6aba5c5de1e4,CSB1,csb1,5,Building,bu,,
